time;EDA;is_peak;classes
0.0;13.2751;False;-1
0.04;13.2767;False;-1
0.08;13.2797;False;-1
0.12;13.2797;False;-1
0.16;13.2797;False;-1
0.2;13.2782;False;-1
0.24;13.2721;False;-1
0.28;13.269;False;-1
0.32;13.2645;False;-1
0.36;13.2599;False;-1
0.4;13.2584;False;-1
0.44;13.2538;False;-1
0.48;13.2492;False;-1
0.52;13.2446;False;-1
0.56;13.2385;False;-1
0.6;13.2324;False;-1
0.64;13.2278;False;-1
0.68;13.2202;False;-1
0.72;13.2156;False;-1
0.76;13.2095;False;-1
0.8;13.205;False;-1
0.84;13.2004;False;-1
0.88;13.1927;False;-1
0.92;13.1882;False;-1
0.96;13.1821;False;-1
1.0;13.1744;False;-1
1.04;13.1683;False;-1
1.08;13.1668;False;-1
1.12;13.1683;False;-1
1.16;13.1638;False;-1
1.2;13.1638;False;-1
1.24;13.1592;False;-1
1.28;13.1516;False;-1
1.32;13.1409;False;-1
1.36;13.1378;False;-1
1.4;13.1363;False;-1
1.44;13.1317;False;-1
1.48;13.1271;False;-1
1.52;13.1256;False;-1
1.56;13.1241;False;-1
1.6;13.1226;False;-1
1.64;13.1226;False;-1
1.68;13.1226;False;-1
1.72;13.1165;False;-1
1.76;13.1088;False;-1
1.8;13.0981;False;-1
1.84;13.0859;False;-1
1.88;13.0768;False;-1
1.92;13.0676;False;-1
1.96;13.0585;False;-1
2.0;13.0554;False;-1
2.04;13.0493;False;-1
2.08;13.0463;False;-1
2.12;13.0402;False;-1
2.16;13.0386;False;-1
2.2;13.0341;False;-1
2.24;13.0295;False;-1
2.28;13.0249;False;-1
2.32;13.0234;False;-1
2.36;13.0188;False;-1
2.4;13.0157;False;-1
2.44;13.0096;False;-1
2.48;13.0081;False;-1
2.52;13.002;False;-1
2.56;12.999;False;-1
2.6;12.9944;False;-1
2.64;12.9898;False;-1
2.68;12.9868;False;-1
2.72;12.9837;False;-1
2.76;12.9791;False;-1
2.8;12.9761;False;-1
2.84;12.973;False;-1
2.88;12.9684;False;-1
2.92;12.9654;False;-1
2.96;12.9623;False;-1
3.0;12.9578;False;-1
3.04;12.9547;False;-1
3.08;12.9501;False;-1
3.12;12.9456;False;-1
3.16;12.9425;False;-1
3.2;12.9379;False;-1
3.24;12.9333;False;-1
3.28;12.9288;False;-1
3.32;12.9242;False;-1
3.36;12.9196;False;-1
3.4;12.915;False;-1
3.44;12.912;False;-1
3.48;12.9074;False;-1
3.52;12.9044;False;-1
3.56;12.8998;False;-1
3.6;12.8983;False;-1
3.64;12.8952;False;-1
3.68;12.8937;False;-1
3.72;12.8891;False;-1
3.76;12.886;False;-1
3.8;12.8845;False;-1
3.84;12.883;False;-1
3.88;12.8799;False;-1
3.92;12.8754;False;-1
3.96;12.8738;False;-1
4.0;12.8708;False;-1
4.04;12.8662;False;-1
4.08;12.8647;False;-1
4.12;12.8616;False;-1
4.16;12.8555;False;-1
4.2;12.8555;False;-1
4.24;12.8525;False;-1
4.28;12.851;False;-1
4.32;12.8479;False;-1
4.36;12.8448;False;-1
4.4;12.8433;False;-1
4.44;12.8403;False;-1
4.48;12.8387;False;-1
4.52;12.8342;False;-1
4.56;12.8311;False;-1
4.6;12.8281;False;-1
4.64;12.8235;False;-1
4.68;12.822;False;-1
4.72;12.8174;False;-1
4.76;12.8143;False;-1
4.8;12.8113;False;-1
4.84;12.8098;False;-1
4.88;12.8052;False;-1
4.92;12.7991;False;-1
4.96;12.7945;False;-1
5.0;12.7914;False;-1
5.04;12.7899;False;-1
5.08;12.7884;False;-1
5.12;12.7792;False;-1
5.16;12.7716;False;-1
5.2;12.764;False;-1
5.24;12.7609;False;-1
5.28;12.7548;False;-1
5.32;12.7502;False;-1
5.36;12.7472;False;-1
5.4;12.7396;False;-1
5.44;12.738;False;-1
5.48;12.735;False;-1
5.52;12.7319;False;-1
5.56;12.7304;False;-1
5.6;12.7335;False;-1
5.64;12.738;False;-1
5.68;12.7396;False;-1
