time;EDA;is_peak;classes
0.0;22.1481;0;-1
0.04;22.139;0;-1
0.08;22.1436;0;-1
0.12;22.1481;0;-1
0.16;22.1558;0;-1
0.2;22.1619;0;-1
0.24;22.1725;0;-1
0.28;22.1802;0;-1
0.32;22.1909;0;-1
0.36;22.2076;0;-1
0.4;22.2183;0;-1
0.44;22.2351;0;-1
0.48;22.2397;0;-1
0.52;22.2412;0;-1
0.56;22.2336;0;-1
0.6;22.2321;0;-1
0.64;22.226;0;-1
0.68;22.2275;0;-1
0.72;22.229;0;-1
0.76;22.226;0;-1
0.8;22.226;0;-1
0.84;22.2244;0;-1
0.88;22.2183;0;-1
0.92;22.2397;0;-1
0.96;22.2198;0;-1
1.0;22.2214;0;-1
1.04;22.2198;0;-1
1.08;22.2183;0;-1
1.12;22.2183;0;-1
1.16;22.2168;0;-1
1.2;22.2153;0;-1
1.24;22.2092;0;-1
1.28;22.2031;0;-1
1.32;22.2;0;-1
1.36;22.197;0;-1
1.4;22.1909;0;-1
1.44;22.1893;0;-1
1.48;22.1878;0;-1
1.52;22.1832;0;-1
1.56;22.1817;0;-1
1.6;22.1771;0;-1
1.64;22.1741;0;-1
1.68;22.1741;0;-1
1.72;22.168;0;-1
1.76;22.168;0;-1
1.8;22.1542;0;-1
1.84;22.168;0;-1
1.88;22.1573;0;-1
1.92;22.1542;0;-1
1.96;22.1558;0;-1
2.0;22.1558;0;-1
2.04;22.1527;0;-1
2.08;22.1542;0;-1
2.12;22.1588;0;-1
2.16;22.1588;0;-1
2.2;22.1603;0;-1
2.24;22.1619;0;-1
2.28;22.1649;0;-1
2.32;22.168;0;-1
2.36;22.1695;0;-1
2.4;22.1741;0;-1
2.44;22.1741;0;-1
2.48;22.1741;0;-1
2.52;22.1771;0;-1
2.56;22.1786;0;-1
2.6;22.1802;0;-1
2.64;22.1802;0;-1
2.68;22.1832;0;-1
2.72;22.1756;0;-1
2.76;22.1802;0;-1
2.8;22.1848;0;-1
2.84;22.1832;0;-1
2.88;22.1832;0;-1
2.92;22.1832;0;-1
2.96;22.1802;0;-1
3.0;22.1832;0;-1
3.04;22.1848;0;-1
3.08;22.1848;0;-1
3.12;22.1802;0;-1
3.16;22.1756;0;-1
