time;EDA;is_peak;classes
0.0;10.1746;0;-1
0.04;10.1669;0;-1
0.08;10.1669;0;-1
0.12;10.1654;0;-1
0.16;10.1669;0;-1
0.2;10.1639;0;-1
0.24;10.1608;0;-1
0.28;10.1608;0;-1
0.32;10.1563;0;-1
0.36;10.1501;0;-1
0.4;10.144;0;-1
0.44;10.1395;0;-1
0.48;10.1349;0;-1
0.52;10.1318;0;-1
0.56;10.1273;0;-1
0.6;10.1212;0;-1
0.64;10.1151;0;-1
0.68;10.112;0;-1
0.72;10.1059;0;-1
0.76;10.1059;0;-1
0.8;10.0983;0;-1
0.84;10.0922;0;-1
0.88;10.0891;0;-1
0.92;10.083;0;-1
0.96;10.0784;0;-1
1.0;10.0739;0;-1
1.04;10.0662;0;-1
1.08;10.0586;0;-1
1.12;10.054;0;-1
1.16;10.0479;0;-1
1.2;10.0372;0;-1
1.24;10.0357;0;-1
1.28;10.0311;0;1
1.32;10.022;0;1
1.36;10.0189;0;1
1.4;10.0128;0;1
1.44;10.0052;0;1
1.48;10.0006;0;1
1.52;9.993;0;1
1.56;9.9869;0;1
1.6;9.9777;0;1
1.64;9.9716;0;1
1.68;9.9655;0;1
1.72;9.9594;0;1
1.76;9.9518;0;1
1.8;9.9472;0;1
1.84;9.9426;0;1
1.88;9.938;0;1
1.92;9.9319;0;1
1.96;9.9258;0;1
2.0;9.9167;0;1
2.04;9.9106;0;1
2.08;9.9045;0;1
2.12;9.8984;0;1
2.16;9.8938;0;1
2.2;9.8892;0;1
2.24;9.8846;0;1
2.28;9.877;0;1
2.32;9.8724;0;1
2.36;9.8663;0;1
2.4;9.8633;0;1
2.44;9.8587;0;1
2.48;9.8572;0;1
2.52;9.8541;0;1
2.56;9.8511;0;1
2.6;9.8511;0;1
2.64;9.8465;0;1
2.68;9.848;0;1
2.72;9.848;0;1
2.76;9.8511;0;1
2.8;9.8526;0;1
2.84;9.8557;0;1
2.88;9.8618;0;1
2.92;9.8663;0;1
2.96;9.874;0;1
3.0;9.8801;0;1
3.04;9.8923;0;1
3.08;9.9014;0;1
3.12;9.9136;0;1
3.16;9.9258;0;1
3.2;9.9365;0;1
3.24;9.9487;0;1
3.28;9.964;0;1
3.32;9.9792;0;1
3.36;9.9945;0;1
3.4;10.0113;0;1
3.44;10.0266;0;1
3.48;10.0433;0;1
3.52;10.0616;0;1
3.56;10.08;0;1
3.6;10.0967;0;1
3.64;10.1166;0;1
3.68;10.1334;0;1
3.72;10.1532;0;1
3.76;10.1669;0;1
